gamePk,gameDate,home_id,away_id,home_name,away_name,home_score,away_score,home_win,total_runs
824851,2026-04-25T16:05:00Z,110,111,Baltimore Orioles,Boston Red Sox,1,17,0,18
823070,2026-04-25T18:15:00Z,138,136,St. Louis Cardinals,Seattle Mariners,9,11,0,20
822826,2026-04-25T19:07:00Z,141,114,Toronto Blue Jays,Cleveland Guardians,5,3,1,8
823229,2026-04-25T20:05:00Z,137,146,San Francisco Giants,Miami Marlins,6,2,1,8
822989,2026-04-25T20:10:00Z,139,142,Tampa Bay Rays,Minnesota Twins,6,1,1,7
824613,2026-04-25T20:10:00Z,145,120,Chicago White Sox,Washington Nationals,3,6,0,9
825093,2026-04-25T22:05:00Z,109,135,Arizona Diamondbacks,San Diego Padres,4,6,0,10
822910,2026-04-25T23:05:00Z,140,133,Texas Rangers,Athletics,4,3,1,7
824121,2026-04-25T23:10:00Z,118,108,Kansas City Royals,Los Angeles Angels,12,1,1,13
824203,2026-04-25T23:10:00Z,117,147,Houston Astros,New York Yankees,3,8,0,11
823799,2026-04-25T23:10:00Z,158,134,Milwaukee Brewers,Pittsburgh Pirates,3,6,0,9
824527,2026-04-25T23:15:00Z,113,116,Cincinnati Reds,Detroit Tigers,9,2,1,11
823960,2026-04-25T23:15:00Z,119,112,Los Angeles Dodgers,Chicago Cubs,12,4,1,16
824933,2026-04-25T23:15:00Z,144,143,Atlanta Braves,Philadelphia Phillies,5,8,0,13
824776,2026-04-20T15:10:00Z,111,116,Boston Red Sox,Detroit Tigers,8,6,1,14
824450,2026-04-20T22:10:00Z,114,117,Cleveland Guardians,Houston Astros,2,9,0,11
822994,2026-04-20T22:40:00Z,139,113,Tampa Bay Rays,Cincinnati Reds,1,6,0,7
823879,2026-04-20T22:40:00Z,146,138,Miami Marlins,St. Louis Cardinals,5,3,1,8
822749,2026-04-20T22:45:00Z,120,144,Washington Nationals,Atlanta Braves,4,9,0,13
824125,2026-04-20T23:40:00Z,118,110,Kansas City Royals,Baltimore Orioles,5,7,0,12
824692,2026-04-20T23:40:00Z,112,143,Chicago Cubs,Philadelphia Phillies,5,1,1,6
824370,2026-04-21T00:40:00Z,115,119,Colorado Rockies,Los Angeles Dodgers,3,12,0,15
824046,2026-04-21T01:38:00Z,108,141,Los Angeles Angels,Toronto Blue Jays,2,5,0,7
823149,2026-04-21T01:40:00Z,136,133,Seattle Mariners,Athletics,4,6,0,10
824529,2026-04-24T22:40:00Z,113,116,Cincinnati Reds,Detroit Tigers,9,8,1,17
824854,2026-04-24T23:05:00Z,110,111,Baltimore Orioles,Boston Red Sox,10,3,1,13
822827,2026-04-24T23:07:00Z,141,114,Toronto Blue Jays,Cleveland Guardians,6,8,0,14
823638,2026-04-24T23:10:00Z,121,115,New York Mets,Colorado Rockies,3,4,0,7
822992,2026-04-24T23:10:00Z,139,142,Tampa Bay Rays,Minnesota Twins,6,2,1,8
824932,2026-04-24T23:15:00Z,144,143,Atlanta Braves,Philadelphia Phillies,5,3,1,8
824124,2026-04-24T23:40:00Z,118,108,Kansas City Royals,Los Angeles Angels,6,3,1,9
824611,2026-04-24T23:40:00Z,145,120,Chicago White Sox,Washington Nationals,5,4,1,9
823800,2026-04-24T23:40:00Z,158,134,Milwaukee Brewers,Pittsburgh Pirates,0,6,0,6
822909,2026-04-25T00:05:00Z,140,133,Texas Rangers,Athletics,1,8,0,9
824204,2026-04-25T00:10:00Z,117,147,Houston Astros,New York Yankees,4,12,0,16
823069,2026-04-25T00:15:00Z,138,136,St. Louis Cardinals,Seattle Mariners,2,3,0,5
823962,2026-04-25T02:15:00Z,119,112,Los Angeles Dodgers,Chicago Cubs,4,6,0,10
